Слово: Abadsqaja, Не найдено подходящих лемм
Слово: Diterding, Низкая уверенность: tre (62.5%)
Слово: Dişmini, Не найдено подходящих лемм
Слово: Dnepr, Лемма: di (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dneproges, Не найдено подходящих лемм
Слово: Dnepropetrovsk, Не найдено подходящих лемм
Слово: Dnepropetrovsq, Не найдено подходящих лемм
Слово: Dneprostroj, Не найдено подходящих лемм
Слово: Dneprovsk, Лемма: dənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dobbas, Лемма: di (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dobbəs, Не найдено подходящих лемм
Слово: Dombrov, Лемма: dəm (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dombrovskij, Не найдено подходящих лемм
Слово: Donbassə, Не найдено подходящих лемм
Слово: Dorçə, Лемма: dərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dukanь, Лемма: dik (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dumer, Лемма: dəm (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dutsenqo, Не найдено подходящих лемм
Слово: Dvukun, Лемма: dav (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dvьrrə, Лемма: dvərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dzersinsqijj, Не найдено подходящих лемм
Слово: Dzorages, Лемма: duz (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dərdənel, Лемма: dərd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dərkul, Лемма: dərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dərkulutə, Лемма: dərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dərmşuk, Лемма: dərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dəstɩ, Лемма: dəstə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dəviljatь, Лемма: dəvə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dəviljətь, Лемма: dəvə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Dɩjlɩ, Лемма: dij (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Egənə, Лемма: gən (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Elektrostal, Не найдено подходящих лемм
Слово: Emigranti, Низкая уверенность: gura (62.5%)
Слово: Erzingjan, Лемма: ruz (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Esquona, Низкая уверенность: sona (62.5%)
Слово: Evdoqimov, Лемма: vədə (100.0%), не совпало по гласным (совпадение гласных 0.0%, разница кол-ва гласных 4)
Слово: Eşqən, Лемма: əşqənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Fermerь, Низкая уверенность: rom (62.5%)
Слово: Gamilton, Низкая уверенность: gəmij (60.0%)
Слово: Garşançapa, Не найдено подходящих лемм
Слово: Garşənçapa, Лемма: grəşə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gavo, Лемма: gəvə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Germanijə, Низкая уверенность: rama (62.5%)
Слово: Ghojp, Лемма: gəhə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gindenburg, Не найдено подходящих лемм
Слово: Gindənburj, Не найдено подходящих лемм
Слово: Gitler, Не найдено подходящих лемм
Слово: Givərgis, Лемма: gvərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Grəşta, Лемма: grəşə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Guandun, Низкая уверенность: gudə (62.5%)
Слово: Gurə, Лемма: gorə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gusiglun, Низкая уверенность: gusar (60.0%)
Слово: Guver, Лемма: gvərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gǝvu, Лемма: gəvə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gəmiciji, Лемма: egə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gəndi, Лемма: gən (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gənь, Лемма: gən (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gərmania, Лемма: gərmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gərmanija, Лемма: gərmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gərmanijə, Лемма: gərmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gərmənija, Лемма: gərmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Gəşəktə, Лемма: guşə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hadərjatь, Лемма: hədə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hajərtə, Не найдено подходящих лемм
Слово: Halljamazjudela, Лемма: halal (100.0%), не совпало по гласным (совпадение гласных 50.0%, разница кол-ва гласных 4)
Слово: Hamalia, Низкая уверенность: hala (62.5%)
Слово: Hamilton, Лемма: həm (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hatxilla, Не найдено подходящих лемм
Слово: Hindocin, Лемма: hən (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hindustan, Не найдено подходящих лемм
Слово: Hinduxan, Лемма: hən (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hindvəji, Низкая уверенность: ndəjə (60.0%)
Слово: HiçasNeçqa, Не найдено подходящих лемм
Слово: Hlinducin, Лемма: həl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: HugniaLamsistan, Не найдено подходящих лемм
Слово: Huqma, Лемма: həq (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Huqmə, Лемма: həqə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədxi, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədxilə, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədxinə, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədəmə, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədəxilə, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədəxinə, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hədəxə, Лемма: həd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Həjarta, Низкая уверенность: jar (62.5%)
Слово: Həkə, Лемма: həkkim (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Hələp, Лемма: həl (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Həməşimь, Лемма: həm (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Həməşə, Лемма: həm (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Ibanqu, Не найдено подходящих лемм
Слово: IbnSajid, Не найдено подходящих лемм
Слово: Ijus, Не найдено подходящих лемм
Слово: Iljinişnə, Не найдено подходящих лемм
Слово: Illic, Лемма: lal (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Illjin, Лемма: lal (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Industrijə, Не найдено подходящих лемм
Слово: Inokəjə, Не найдено подходящих лемм
Слово: Irkutsk, Низкая уверенность: kut (62.5%)
Слово: Irlandia, Не найдено подходящих лемм
Слово: Ispənijə, Лемма: sepə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Istambul, Не найдено подходящих лемм
Слово: Itlə, Лемма: tələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Itlən, Лемма: tələ (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Ivor, Лемма: vara (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Izvestija, Не найдено подходящих лемм
Слово: IŞanxaj, Не найдено подходящих лемм
Слово: Jaana, Не найдено подходящих лемм
Слово: JasLamsistan, Низкая уверенность: asla (62.5%)
Слово: Javəlltə, Лемма: jəvəltə (90.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Jerluvi, Лемма: jar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Jugoslavija, Не найдено подходящих лемм
Слово: Jumanitebiqtavъli, Не найдено подходящих лемм
Слово: Jurup, Лемма: jar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Jurəp, Лемма: jar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Jəntsi, Лемма: jə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Jəvənь, Лемма: jə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kamcatkə, Лемма: kmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kamensk, Лемма: kmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kapitalisti, Не найдено подходящих лемм
Слово: Kapitalizm, Не найдено подходящих лемм
Слово: Kato, Лемма: kut (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kavkəz, Лемма: ekə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kavqazьja, Низкая уверенность: kavьtra (60.0%)
Слово: Kejpə, Лемма: kjəpə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Keln, Лемма: kul (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kerenskij, Лемма: kar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kirrij, Лемма: kar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Klodel, Лемма: kul (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kməjutə, Лемма: kmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Koba, Не найдено подходящих лемм
Слово: Kollektiv, Лемма: kul (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kolxozniki, Не найдено подходящих лемм
Слово: Kolxozь, Лемма: kul (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Komisijə, Не найдено подходящих лемм
Слово: Kompartijə, Не найдено подходящих лемм
Слово: Kompərtijə, Не найдено подходящих лемм
Слово: Komsomolь, Лемма: kmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Komșomol, Лемма: kmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Konkurs, Лемма: kin (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Konperensija, Не найдено подходящих лемм
Слово: Konperensijə, Не найдено подходящих лемм
Слово: Konstantinovka, Не найдено подходящих лемм
Слово: Kooperativ, Низкая уверенность: apra (62.5%)
Слово: Koşuni, Не найдено подходящих лемм
Слово: Kpiljivin, Лемма: kep (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Krejger, Лемма: kar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Krivorozstroj, Не найдено подходящих лемм
Слово: Krizis, Лемма: kar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Krьm, Лемма: kar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Ktsjla, Лемма: kut (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kujəmə, Лемма: kjəmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kursk, Лемма: kar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kuzbas, Не найдено подходящих лемм
Слово: Kuznesstroj, Не найдено подходящих лемм
Слово: Kuznetsk, Не найдено подходящих лемм
Слово: Kuznetsstroj, Не найдено подходящих лемм
Слово: Kədrə, Лемма: kəd (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kələ, Лемма: kələm (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kəmsə, Лемма: kmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kəpitalisti, Не найдено подходящих лемм
Слово: Kəpitalizm, Не найдено подходящих лемм
Слово: Kərmənь, Лемма: kərmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kətij, Лемма: kut (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Kətəva, Лемма: kətəvə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: LSSSR, Лемма: lə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Langov, Не найдено подходящих лемм
Слово: Lappi, Лемма: ləppə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Lebedev, Не найдено подходящих лемм
Слово: Lelə, Лемма: lə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Lendberg, Низкая уверенность: nьdra (60.0%)
Слово: Leningrad, Низкая уверенность: nin (62.5%)
Слово: Lifvinov, Не найдено подходящих лемм
Слово: Liga, Не найдено подходящих лемм
Слово: Ligə, Не найдено подходящих лемм
Слово: Lisbon, Не найдено подходящих лемм
Слово: Liverpool, Не найдено подходящих лемм
Слово: Ljumə, Лемма: ljəmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Lkədmətə, Низкая уверенность: kəd (62.5%)
Слово: Lməklujo, Лемма: lim (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Lməzjudo, Лемма: lim (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Lomslstan, Лемма: lim (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: London, Не найдено подходящих лемм
Слово: Londonder, Не найдено подходящих лемм
Слово: Lourens, Не найдено подходящих лемм
Слово: Lozovskij, Не найдено подходящих лемм
Слово: Lqislən, Не найдено подходящих лемм
Слово: Lutsgarţin, Низкая уверенность: tasa (62.5%)
Слово: Ləbəltə, Низкая уверенность: lələ (62.5%)
Слово: Ləti, Лемма: lə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: MOPR, Лемма: maprumь (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mabsarta, Не найдено подходящих лемм
Слово: Magnitostroj, Не найдено подходящих лемм
Слово: Mahjunilə, Низкая уверенность: maja (62.5%)
Слово: Makejevke, Низкая уверенность: kuj (62.5%)
Слово: Maks, Лемма: məksuli (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Maktalta, Низкая уверенность: matta (60.0%)
Слово: Malqvəti, Низкая уверенность: maljat (60.0%)
Слово: Malqəvatь, Низкая уверенность: maljat (60.0%)
Слово: Mangolijə, Низкая уверенность: inglisnəjə (60.0%)
Слово: Mançorijaənə, Не найдено подходящих лемм
Слово: Mançorijə, Не найдено подходящих лемм
Слово: Maxaradze, Низкая уверенность: xora (62.5%)
Слово: Maxbarta, Низкая уверенность: maxвarta (60.0%)
Слово: Mdabranuta, Не найдено подходящих лемм
Слово: Medisonstrit, Не найдено подходящих лемм
Слово: Mehməruta, Низкая уверенность: mehl (60.0%)
Слово: Melon, Не найдено подходящих лемм
Слово: Militoristi, Не найдено подходящих лемм
Слово: Miller, Лемма: malla (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mingecaur, Низкая уверенность: вar (60.0%)
Слово: Minjənə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Minusinsq, Не найдено подходящих лемм
Слово: Moro, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Moskov, Лемма: miskinə (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mosqov, Лемма: məsuqi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Musabeqov, Низкая уверенность: musje (60.0%)
Слово: Muxbarta, Низкая уверенность: maxвarta (60.0%)
Слово: Məbjunilə, Не найдено подходящих лемм
Слово: Məbsurex, Не найдено подходящих лемм
Слово: Məlkvətɩ, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məlkəvati, Лемма: məlkə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mələbta, Лемма: mulə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məntəjatɩ, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mənçorijə, Лемма: mənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məpləxta, Лемма: məpləxtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məravəti, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məravətь, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mərujatɩ, Лемма: mərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məssəmta, Лемма: məssumi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məssəmtə, Лемма: məsəmtə (80.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mətəvtə, Лемма: mətə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məxlə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məxpəltə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məxultə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məxzəjətə, Лемма: məx (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Məzhəb, Лемма: məzhəвəjə (88.9%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Mạngolijə, Низкая уверенность: inglisnəjə (60.0%)
Слово: Narkom, Не найдено подходящих лемм
Слово: Nataxtari, Не найдено подходящих лемм
Слово: Nataxtarь, Низкая уверенность: naxrunь (60.0%)
Слово: Neçqa, Не найдено подходящих лемм
Слово: NeçqaHiçqaş, Не найдено подходящих лемм
Слово: NjuMassos, Лемма: njəmə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Nota, Не найдено подходящих лемм
Слово: Novgorod, Не найдено подходящих лемм
Слово: Novgorodə, Не найдено подходящих лемм
Слово: Novosibirsk, Не найдено подходящих лемм
Слово: Nəkkь, Лемма: ənə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Nəravatь, Лемма: nərə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Nɩrs, Лемма: nurə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Ooçǝrь, Лемма: çar (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Orisь, Лемма: rastь (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Ottavə, Лемма: tetə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Oxotnьj, Лемма: xitnə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Papa, Не найдено подходящих лемм
Слово: Partkonperensijə, Не найдено подходящих лемм
Слово: Partkonperentsijə, Не найдено подходящих лемм
Слово: Pijşlə, Лемма: pjəşə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Pilipin, Лемма: pal (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Pilsudskij, Не найдено подходящих лемм
Слово: Pionersqaja, Не найдено подходящих лемм
Слово: Pionersqəja, Не найдено подходящих лемм
Слово: Pitsburg, Не найдено подходящих лемм
Слово: Pjust, Не найдено подходящих лемм
Слово: Polisemənь, Низкая уверенность: polq (60.0%)
Слово: Polisə, Лемма: pal (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Polsə, Лемма: pal (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Polşə, Лемма: pal (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: PonPapen, Не найдено подходящих лемм
Слово: Pord, Лемма: prədə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Postьşev, Низкая уверенность: sitvə (60.0%)
Слово: Prensə, Лемма: pirə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Prezidijum, Не найдено подходящих лемм
Слово: Propesor, Лемма: pərpusi (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Proqramə, Лемма: prəqə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Prəqtə, Лемма: pərəqtə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
Слово: Ptəxta, Лемма: ptəxə (100.0%), не совпало по гласным (совпадение гласных 0.0%)
