Слово: Aden, Предложенная лемма: denə (100.0%)
Слово: Azov, Предложенная лемма: zoa (100.0%)
Слово: Azovsta, Предложенная лемма: zoa (100.0%)
Слово: Açaretə, Предложенная лемма: çar (100.0%)
Слово: Açaristan, Предложенная лемма: çar (100.0%)
Слово: BPrəqtə, Предложенная лемма: pərəqtə (70.0%)
Слово: Balker, Предложенная лемма: lek (62.5%)
Слово: Batum, Предложенная лемма: tama/tamma (62.5%)
Слово: Batьjlь, Предложенная лемма: təjlə (66.7%)
Слово: Bcirij, Предложенная лемма: ciriji/cirijji (66.7%)
Слово: Bciriji, Предложенная лемма: ciriji/cirijji (66.7%)
Слово: Bdana, Предложенная лемма: dana (62.5%)
Слово: Bdanats, Предложенная лемма: daneta (66.7%)
Слово: Bdanatь, Предложенная лемма: daneta (66.7%)
Слово: Bdanə, Предложенная лемма: dənə (62.5%)
Слово: Bedrojev, Предложенная лемма: drəjə (66.7%)
Слово: Belgia, Предложенная лемма: lgiв (62.5%)
Слово: Belmi, Предложенная лемма: elm (62.5%)
Слово: Benjamin, Предложенная лемма: njəmə (66.7%)
Слово: Berzan, Предложенная лемма: razanaja (66.7%)
Слово: Bessarabijə, Предложенная лемма: sьsra (66.7%)
Слово: Bextə, Предложенная лемма: xətə (62.5%)
Слово: Bhadxə, Предложенная лемма: həd (62.5%)
Слово: Bhajjarta, Предложенная лемма: hajjarda (63.6%)
Слово: Bhimizmənь, Предложенная лемма: himizmən (72.7%)
Слово: Bhimɩzmənɩ, Предложенная лемма: himizmən (72.7%)
Слово: Bhivijjvin, Предложенная лемма: hivij (66.7%)
Слово: Bhivijvьn, Предложенная лемма: hivij (66.7%)
Слово: Bhəmzəmjəti, Предложенная лемма: həmzəmtə (66.7%)
Слово: Bhəmzəmtə, Предложенная лемма: həmzəmtə (72.7%)
Слово: Bijid, Предложенная лемма: ijdə (62.5%)
Слово: Bikjəmilə, Предложенная лемма: kjəmə (66.7%)
Слово: Bikjəminə, Предложенная лемма: kjəmə (66.7%)
Слово: Biktəvinə, Предложенная лемма: kitvənə (70.0%)
Слово: Binijsani, Предложенная лемма: njasa (66.7%)
Слово: Binjət, Предложенная лемма: injət (66.7%)
Слово: Bipja, Предложенная лемма: pajda (62.5%)
Слово: Bipləxıli, Предложенная лемма: pləxə (66.7%)
Слово: Birma, Предложенная лемма: rama (62.5%)
Слово: Bispərinə, Предложенная лемма: səpər (66.7%)
Слово: Bitǝjilə, Предложенная лемма: təjlə (66.7%)
Слово: Bixrəvili, Предложенная лемма: xrəvə (66.7%)
Слово: Biçin, Предложенная лемма: çins (62.5%)
Слово: Bjumə, Предложенная лемма: jəmə (62.5%)
Слово: Bjumənь, Предложенная лемма: ijmən (66.7%)
Слово: Bjuro, Предложенная лемма: jar (62.5%)
Слово: Bjuró, Предложенная лемма: jar (62.5%)
Слово: Bktəvtə, Предложенная лемма: ktəvtə (70.0%)
Слово: Bkulle, Предложенная лемма: kolleƶskij (66.7%)
Слово: Bleli, Предложенная лемма: lal (62.5%)
Слово: Blişənə, Предложенная лемма: lişənə (66.7%)
Слово: Bmarjzəta, Предложенная лемма: marja (66.7%)
Слово: Bmiljuti, Предложенная лемма: miljutə (70.0%)
Слово: Bmiljutə, Предложенная лемма: miljutə (70.0%)
Слово: Bmitxə, Предложенная лемма: mitxə (66.7%)
Слово: Bməntetə, Предложенная лемма: məntetə (70.0%)
Слово: Bməntəta, Предложенная лемма: məntetə (70.0%)
Слово: Bnetə, Предложенная лемма: nətə (62.5%)
Слово: Bonne, Предложенная лемма: nin (62.5%)
Слово: Bplan, Предложенная лемма: palan (66.7%)
Слово: Bprəqtə, Предложенная лемма: pərəqtə (70.0%)
Слово: Bprəştə, Предложенная лемма: prəştə (70.0%)
Слово: Bpьrjutə, Предложенная лемма: pьrjuta (70.0%)
Слово: Bqejrət, Предложенная лемма: qejrət (70.0%)
Слово: Bramşa, Предложенная лемма: ramşa (66.7%)
Слово: Brijan, Предложенная лемма: raja (62.5%)
Слово: Brimun, Предложенная лемма: ərimnəjə (66.7%)
Слово: Brita, Предложенная лемма: ritma (62.5%)
Слово: Bruqlin, Предложенная лемма: ərquli (66.7%)
Слово: Bsarta, Предложенная лемма: surta (66.7%)
Слово: Bsurajə, Предложенная лемма: surjəjə (66.7%)
Слово: Btarasta, Предложенная лемма: trasa (66.7%)
Слово: Btopə, Предложенная лемма: top (62.5%)
Слово: Budojnə, Предложенная лемма: djənə (66.7%)
Слово: Bukara, Предложенная лемма: kar (62.5%)
Слово: Bukol, Предложенная лемма: kul (62.5%)
Слово: Bupalo, Предложенная лемма: pal (62.5%)
Слово: Burxu, Предложенная лемма: urxə (62.5%)
Слово: Burxə, Предложенная лемма: urxə (62.5%)
Слово: Bxalsbujatь, Предложенная лемма: xalusь (66.7%)
Слово: Bxela, Предложенная лемма: xala (62.5%)
Слово: Bxelə, Предложенная лемма: xelə (62.5%)
Слово: Bçəlduta, Предложенная лемма: çəldutə (70.0%)
Слово: Bçəldutə, Предложенная лемма: çəldutə (70.0%)
Слово: Bşimmə, Предложенная лемма: şimmə (66.7%)
Слово: Bşita, Предложенная лемма: şitə (62.5%)
Слово: Bşitə, Предложенная лемма: şitə (62.5%)
Слово: Bşuraja, Предложенная лемма: şuraja (66.7%)
Слово: Bşərikutə, Предложенная лемма: şərikə (66.7%)
Слово: Bşərtatь, Предложенная лемма: şərt (66.7%)
Слово: Bşərti, Предложенная лемма: şərt (66.7%)
Слово: Bšinni, Предложенная лемма: nin (62.5%)
Слово: Bənda, Предложенная лемма: nьdra (62.5%)
Слово: Bənni, Предложенная лемма: ənni (62.5%)
Слово: Bənnni, Предложенная лемма: ənni (62.5%)
Слово: Bənnь, Предложенная лемма: ənni (62.5%)
Слово: Bəsmatь, Предложенная лемма: səmt (66.7%)
Слово: Cancun, Предложенная лемма: cu (100.0%)
Слово: Cankajı, Предложенная лемма: canaxţa (66.7%)
Слово: Capej, Предложенная лемма: cappa (75.0%)
Слово: Capon, Предложенная лемма: cappa (75.0%)
Слово: Catun, Предложенная лемма: cu (100.0%)
Слово: Ciatur, Предложенная лемма: atra (62.5%)
Слово: Cinaji, Предложенная лемма: cənni (75.0%)
Слово: Cinəji, Предложенная лемма: cingirənə (75.0%)
Слово: Cjadta, Предложенная лемма: cjamta (66.7%)
Слово: Cəncu, Предложенная лемма: cu (100.0%)
Слово: Danijil, Предложенная лемма: dana (100.0%)
Слово: Darba, Предложенная лемма: dara (100.0%)
Слово: Dasta, Предложенная лемма: dasmal (75.0%)
Слово: Datəd, Предложенная лемма: data (100.0%)
Слово: David, Предложенная лемма: dav (100.0%)
Слово: Dejiret, Предложенная лемма: dij (100.0%)
Слово: Dejli, Предложенная лемма: dij (100.0%)
Слово: Dejtsi, Предложенная лемма: dij (100.0%)
Слово: Dembi, Предложенная лемма: di (100.0%)
Слово: Devis, Предложенная лемма: di (100.0%)
Слово: Dimmarq, Предложенная лемма: dimmə (100.0%)
Слово: Dinamo, Предложенная лемма: di (100.0%)
Слово: Dinmarq, Предложенная лемма: dana (100.0%)
Слово: Dixə, Предложенная лемма: di (100.0%)
Слово: Dizmin, Предложенная лемма: di (100.0%)
Слово: Dişmən, Предложенная лемма: di (100.0%)
Слово: Dişţa, Предложенная лемма: di (100.0%)
Слово: Djukle, Предложенная лемма: udju (100.0%)
Слово: Djustirberg, Предложенная лемма: udju (100.0%)
Слово: Dnep, Предложенная лемма: denə (100.0%)
Слово: Dnepri, Предложенная лемма: dunji (66.7%)
Слово: Donbas, Предложенная лемма: dana (100.0%)
Слово: Donbass, Предложенная лемма: dana (100.0%)
Слово: Donets, Предложенная лемма: daneta (100.0%)
Слово: Dtre, Предложенная лемма: tre (62.5%)
Слово: Dunaj, Предложенная лемма: dana (100.0%)
Слово: Dusterberg, Предложенная лемма: dəstur (100.0%)
Слово: Dəxtij, Предложенная лемма: dəxuji (77.8%)
Слово: Enukidze, Предложенная лемма: nəknuki (66.7%)
Слово: Estonijə, Предложенная лемма: tnəjə (66.7%)
Слово: Ferol, Предложенная лемма: front (75.0%)
Слово: Fransə, Предложенная лемма: fransaja (100.0%)
Слово: Gamburg, Предложенная лемма: gomrug (80.0%)
Слово: Garag, Предложенная лемма: garug (100.0%)
Слово: Gegt, Предложенная лемма: egə (100.0%)
Слово: Germaaja, Предложенная лемма: graja (77.8%)
Слово: Germania, Предложенная лемма: graja (66.7%)
Слово: Germanija, Предложенная лемма: graja (70.0%)
Слово: Germanije, Предложенная лемма: garmon (100.0%)
Слово: Germanja, Предложенная лемма: graja (70.0%)
Слово: Gidrostansa, Предложенная лемма: dərs (66.7%)
Слово: Giolog, Предложенная лемма: gol (100.0%)
Слово: Glazgo, Предложенная лемма: gol (100.0%)
Слово: Goqing, Предложенная лемма: gungə (66.7%)
Слово: Gorgulov, Предложенная лемма: gori (100.0%)
Слово: Gorqij, Предложенная лемма: gori (100.0%)
Слово: Graha, Предложенная лемма: gura (100.0%)
Слово: Grisija, Предложенная лемма: gori (100.0%)
Слово: Grisijə, Предложенная лемма: gori (100.0%)
Слово: Grober, Предложенная лемма: gori (100.0%)
Слово: Groznevt, Предложенная лемма: ərzən (66.7%)
Слово: Gurcistan, Предложенная лемма: gura (100.0%)
Слово: Gurjaquş, Предложенная лемма: graja (100.0%)
Слово: Gurçistan, Предложенная лемма: gura (100.0%)
Слово: Gurçistau, Предложенная лемма: gura (100.0%)
Слово: Guşmi, Предложенная лемма: guşə (100.0%)
Слово: Gərvusınə, Предложенная лемма: gərvusi (100.0%)
Слово: Gərvəsta, Предложенная лемма: gərtə (70.0%)
Слово: Gərvəstə, Предложенная лемма: gərusə (77.8%)
Слово: Hadarjatъ, Предложенная лемма: hdara (100.0%)
Слово: Hadarjətь, Предложенная лемма: hdara (100.0%)
Слово: Hadrun, Предложенная лемма: ha (100.0%)
Слово: Hadxə, Предложенная лемма: ha (100.0%)
Слово: Hajarta, Предложенная лемма: hajjarda (66.7%)
Слово: Haland, Предложенная лемма: ha (100.0%)
Слово: Havilən, Предложенная лемма: hava (100.0%)
Слово: Havə, Предложенная лемма: ha (100.0%)
Слово: Haxa, Предложенная лемма: ha (100.0%)
Слово: Haççət, Предложенная лемма: ha (100.0%)
Слово: Hejvənь, Предложенная лемма: hejvan (100.0%)
Слово: Hində, Предложенная лемма: hi (100.0%)
Слово: Hitler, Предложенная лемма: hi (100.0%)
Слово: Hiças, Предложенная лемма: hi (100.0%)
Слово: Hiçqaş, Предложенная лемма: hi (100.0%)
Слово: Humzimьlun, Предложенная лемма: himizmən (90.9%)
Слово: Həkjet, Предложенная лемма: kuj (62.5%)
Слово: Həvatь, Предложенная лемма: hava (100.0%)
Слово: Hьdrajɩvɩn, Предложенная лемма: hdara (100.0%)
Слово: ISSSR, Предложенная лемма: sьsra (77.8%)
Слово: Idizmin, Предложенная лемма: idə (100.0%)
Слово: Idju, Предложенная лемма: udju (100.0%)
Слово: Ijdarь, Предложенная лемма: ijdə (100.0%)
Слово: Ijna, Предложенная лемма: ajna (100.0%)
Слово: Ijnatama, Предложенная лемма: ajna (100.0%)
Слово: Ijta, Предложенная лемма: ijtə (100.0%)
Слово: Ikis, Предложенная лемма: kis (100.0%)
Слово: Ikistan, Предложенная лемма: kis (100.0%)
Слово: Immi, Предложенная лемма: immə (100.0%)
Слово: Imperalistъ, Предложенная лемма: imperatura (81.8%)
Слово: Imperialisti, Предложенная лемма: imperatura (81.8%)
Слово: India, Предложенная лемма: in (100.0%)
Слово: Inglan, Предложенная лемма: in (100.0%)
Слово: Ingland, Предложенная лемма: inь (100.0%)
Слово: Inglis, Предложенная лемма: in (100.0%)
Слово: Inglisnaji, Предложенная лемма: inglisnəjə (100.0%)
Слово: Inglisnǝji, Предложенная лемма: inglisnəjə (100.0%)
Слово: Inglisnəja, Предложенная лемма: inglisnəjə (100.0%)
Слово: Inglisnəjɩ, Предложенная лемма: inglisnəjə (100.0%)
Слово: Inçiner, Предложенная лемма: inь (100.0%)
Слово: Inçinerь, Предложенная лемма: inь (100.0%)
Слово: Inçьnjerь, Предложенная лемма: inь (100.0%)
Слово: Iqlas, Предложенная лемма: qalla (75.0%)
Слово: Irak, Предложенная лемма: ara (100.0%)
Слово: Iran, Предложенная лемма: ironijn (100.0%)
Слово: Iraq, Предложенная лемма: ara (100.0%)
Слово: Irland, Предложенная лемма: ara (100.0%)
Слово: Iruvan, Предложенная лемма: irvənə (100.0%)
Слово: Irxart, Предложенная лемма: ara (100.0%)
Слово: Iskulaja, Предложенная лемма: slaja (66.7%)
Слово: Ispania, Предложенная лемма: sapa (100.0%)
Слово: Ispanija, Предложенная лемма: sapa (100.0%)
Слово: Ispanijə, Предложенная лемма: sapa (100.0%)
Слово: Ispaniya, Предложенная лемма: sapa (100.0%)
Слово: Isquləji, Предложенная лемма: siqlə (100.0%)
Слово: Italia, Предложенная лемма: it (100.0%)
Слово: Italija, Предложенная лемма: tala (100.0%)
Слово: Italijə, Предложенная лемма: tala (100.0%)
Слово: Ivan, Предложенная лемма: vana (100.0%)
Слово: Ivanov, Предложенная лемма: vana (100.0%)
Слово: Ivanovo, Предложенная лемма: vana (100.0%)
Слово: Işuqi, Предложенная лемма: şuqquq (100.0%)
Слово: Iənni, Предложенная лемма: ənni (100.0%)
Слово: Jarmarqa, Предложенная лемма: jar (100.0%)
Слово: Jaroslavl, Предложенная лемма: jar (100.0%)
Слово: Jaroslavsqij, Предложенная лемма: jara (100.0%)
Слово: Jarьxjutə, Предложенная лемма: jar (100.0%)
Слово: Jarьxuta, Предложенная лемма: jar (100.0%)
Слово: Jepremov, Предложенная лемма: prəmə (66.7%)
Слово: Jillun, Предложенная лемма: ijlul (100.0%)
Слово: Jina, Предложенная лемма: ajna (100.0%)
Слово: Jubava, Предложенная лемма: ajva (62.5%)
Слово: Jumanita, Предложенная лемма: ojma (100.0%)
Слово: Jumanite, Предложенная лемма: ojma (100.0%)
Слово: Jumaniti, Предложенная лемма: ojma (100.0%)
Слово: Junajd, Предложенная лемма: ajna (100.0%)
Слово: Junajtd, Предложенная лемма: ajna (100.0%)
Слово: JunajtdStets, Предложенная лемма: ojun (100.0%)
Слово: Jung, Предложенная лемма: ojun (100.0%)
Слово: Jungjtd, Предложенная лемма: ojun (100.0%)
Слово: Kamarta, Предложенная лемма: amarat (66.7%)
Слово: Kanton, Предложенная лемма: kan (100.0%)
Слово: Kanzьs, Предложенная лемма: kan (100.0%)
Слово: Karaganda, Предложенная лемма: kar (100.0%)
Слово: Karkizi, Предложенная лемма: kar (100.0%)
Слово: Karta, Предложенная лемма: kar (100.0%)
Слово: Kavkaz, Предложенная лемма: kavьtra (66.7%)
Слово: Kavkəzijə, Предложенная лемма: kəvi (100.0%)
Слово: Kaşen, Предложенная лемма: kan (62.5%)
Слово: Kecəm, Предложенная лемма: ekə (100.0%)
Слово: Keşi, Предложенная лемма: kuşki (100.0%)
Слово: Kimja, Предложенная лемма: kim (100.0%)
Слово: Kimjə, Предложенная лемма: kim (100.0%)
Слово: Kiprus, Предложенная лемма: kipə (100.0%)
Слово: Kiva, Предложенная лемма: kivij (100.0%)
Слово: Kizil, Предложенная лемма: zil (62.5%)
Слово: Kodra, Предложенная лемма: dara (62.5%)
Слово: Kollektivizetsija, Предложенная лемма: illəki (66.7%)
Слово: Komintern, Предложенная лемма: kim (100.0%)
Слово: Komisija, Предложенная лемма: msaja (66.7%)
Слово: Komisije, Предложенная лемма: kim (100.0%)
Слово: Komisijo, Предложенная лемма: kim (100.0%)
Слово: Komisita, Предложенная лемма: kistə (66.7%)
Слово: Komitet, Предложенная лемма: kim (100.0%)
Слово: Kompraksijə, Предложенная лемма: komur (77.8%)
Слово: Konovingo, Предложенная лемма: kin (100.0%)
Слово: Kosogorsk, Предложенная лемма: kosə (100.0%)
Слово: Koçorь, Предложенная лемма: çar (62.5%)
Слово: Koşun, Предложенная лемма: kundə (62.5%)
Слово: Krakov, Предложенная лемма: kar (100.0%)
Слово: Krasnaj, Предложенная лемма: kurasa (100.0%)
Слово: Krijan, Предложенная лемма: krajat (88.9%)
Слово: Kteta, Предложенная лемма: ktetə (100.0%)
Слово: Kujamə, Предложенная лемма: kuj (100.0%)
Слово: Kulie, Предложенная лемма: kul (100.0%)
Слово: Kulla, Предложенная лемма: kul (100.0%)
Слово: Kulle, Предложенная лемма: kul (100.0%)
Слово: Kəmetə, Предложенная лемма: kəmər (75.0%)
Слово: Kəmətə, Предложенная лемма: kəmər (75.0%)
Слово: Kərbəntə, Предложенная лемма: kərtə (70.0%)
Слово: Kərxəni, Предложенная лемма: kərвənə (66.7%)
Слово: Kərxənə, Предложенная лемма: kərвənə (66.7%)
Слово: Kərxənɩ, Предложенная лемма: kərвənə (66.7%)
Слово: Kəsen, Предложенная лемма: ekə (100.0%)
Слово: Kətulь, Предложенная лемма: kut (100.0%)
Слово: Kətǝle, Предложенная лемма: ekə (100.0%)
Слово: Kəşi, Предложенная лемма: kuşki (100.0%)
Слово: Lagiba, Предложенная лемма: lgiв (75.0%)
Слово: Lamsistan, Предложенная лемма: lama (100.0%)
Слово: Lazım, Предложенная лемма: lazьm (100.0%)
Слово: Lazəm, Предложенная лемма: lazьm (100.0%)
Слово: Lena, Предложенная лемма: le (100.0%)
Слово: Lenin, Предложенная лемма: le (100.0%)
Слово: Leninetə, Предложенная лемма: nonetə (66.7%)
Слово: Lenə, Предложенная лемма: le (100.0%)
Слово: Libren, Предложенная лемма: le (100.0%)
Слово: Lipetskstroj, Предложенная лемма: lipə (100.0%)
Слово: Litvinov, Предложенная лемма: tvənə (66.7%)
Слово: Ljuma, Предложенная лемма: ljaţa (75.0%)
Слово: Lkis, Предложенная лемма: lkisl (100.0%)
Слово: Lodzij, Предложенная лемма: duz (62.5%)
Слово: Lokal, Предложенная лемма: al (100.0%)
Слово: Long, Предложенная лемма: ləgiвə-logiвə/ləjвə-lojвə (62.5%)
Слово: Lora, Предложенная лемма: lərahatuta (100.0%)
Слово: Lozana, Предложенная лемма: zena (62.5%)
Слово: Lozungi, Предложенная лемма: zənguri (66.7%)
Слово: Lsurəji, Предложенная лемма: surjəjə (66.7%)
Слово: Lugland, Предложенная лемма: aul (100.0%)
Слово: Luksemburg, Предложенная лемма: lukmə (77.8%)
Слово: Lunacarski, Предложенная лемма: nacar (66.7%)
Слово: Lupun, Предложенная лемма: pundə (62.5%)
Слово: Luxemon, Предложенная лемма: limon (66.7%)
Слово: Ləmsistan, Предложенная лемма: lim (100.0%)
Слово: Magnitogorsk, Предложенная лемма: manat (66.7%)
Слово: Magnitogorsq, Предложенная лемма: manat (66.7%)
Слово: Mahallɩ, Предложенная лемма: mahal (100.0%)
Слово: Majsqij, Предложенная лемма: maja (100.0%)
Слово: Makulle, Предложенная лемма: malla (66.7%)
Слово: Mancester, Предложенная лемма: manat (70.0%)
Слово: Manieta, Предложенная лемма: manat (100.0%)
Слово: Mançoraja, Предложенная лемма: manaja (70.0%)
Слово: Mançorija, Предложенная лемма: manaja (70.0%)
Слово: Manţǝjati, Предложенная лемма: manaja (77.8%)
Слово: Maqsim, Предложенная лемма: сim (100.0%)
Слово: Maqsьm, Предложенная лемма: maqrusь (66.7%)
Слово: Marija, Предложенная лемма: marja (100.0%)
Слово: Marjəztə, Предложенная лемма: marja (100.0%)
Слово: Marseljə, Предложенная лемма: marja (70.0%)
Слово: Marti, Предложенная лемма: amarat (100.0%)
Слово: Maru, Предложенная лемма: marumь (100.0%)
Слово: Marçonija, Предложенная лемма: marja (70.0%)
Слово: Matcas, Предложенная лемма: matta (66.7%)
Слово: Maten, Предложенная лемма: matta (75.0%)
Слово: Maxbartə, Предложенная лемма: mxetə (70.0%)
Слово: Maçorija, Предложенная лемма: marja (66.7%)
Слово: Maşьjnь, Предложенная лемма: maşьna (77.8%)
Слово: Mdijnati, Предложенная лемма: mədjuni (100.0%)
Слово: Mekədta, Предложенная лемма: mekə (100.0%)
Слово: Mhaslanuta, Предложенная лемма: mahal (77.8%)
Слово: Mhaslanutə, Предложенная лемма: mahal (77.8%)
Слово: Mihjənə, Предложенная лемма: məhnijənə (77.8%)
Слово: Milijuni, Предложенная лемма: miljə (100.0%)
Слово: Miljuni, Предложенная лемма: miljə (100.0%)
Слово: Miljunɩ, Предложенная лемма: miljə (100.0%)
Слово: Millətь, Предложенная лемма: miljəit (66.7%)
Слово: Milsq, Предложенная лемма: milisəjə (88.9%)
Слово: Milukov, Предложенная лемма: mulk (100.0%)
Слово: Miqojan, Предложенная лемма: mьjana (66.7%)
Слово: Misrьn, Предложенная лемма: miskinə (66.7%)
Слово: Mixail, Предложенная лемма: mixə (100.0%)
Слово: Miçətd, Предложенная лемма: mətə (62.5%)
Слово: Mişineri, Предложенная лемма: mişilmənə (66.7%)
Слово: Molita, Предложенная лемма: am (100.0%)
Слово: Molotov, Предложенная лемма: motvəjə (66.7%)
Слово: Monarxisti, Предложенная лемма: nirx (66.7%)
Слово: Monolija, Предложенная лемма: manaja (77.8%)
Слово: Morakkajь, Предложенная лемма: amra (100.0%)
Слово: Moskva, Предложенная лемма: am (100.0%)
Слово: Mosqua, Предложенная лемма: am (100.0%)
Слово: Mosqva, Предложенная лемма: am (100.0%)
Слово: Mostar, Предложенная лемма: mьstana (88.9%)
Слово: Mota, Предложенная лемма: motə (100.0%)
Слово: Motorь, Предложенная лемма: motə (100.0%)
Слово: Motvə, Предложенная лемма: motə (100.0%)
Слово: Mudijlə, Предложенная лемма: mudəjij (88.9%)
Слово: Mugan, Предложенная лемма: gən (62.5%)
Слово: Mukden, Предложенная лемма: umud (62.5%)
Слово: Mukdin, Предложенная лемма: umud (62.5%)
Слово: Museqov, Предложенная лемма: məsuqi (100.0%)
Слово: Musul, Предложенная лемма: muslijə (100.0%)
Слово: Məktəvtə, Предложенная лемма: ktəvtə (70.0%)
Слово: Məldetə, Предложенная лемма: mələptə (66.7%)
Слово: Məlləli, Предложенная лемма: məlkə (66.7%)
Слово: Məlqutə, Предложенная лемма: məlkutə (66.7%)
Слово: Mənpəltə, Предложенная лемма: npəltə (70.0%)
Слово: Məntəjati, Предложенная лемма: mintə (100.0%)
Слово: Məntəjətɩ, Предложенная лемма: mnəjə (77.8%)
Слово: Məntəjətь, Предложенная лемма: mnəjə (77.8%)
Слово: Məpi, Предложенная лемма: məpluxi (100.0%)
Слово: Məplixun, Предложенная лемма: məpluxi (100.0%)
Слово: Məprəmta, Предложенная лемма: mapramta (100.0%)
Слово: Məptəli, Предложенная лемма: məptuli (100.0%)
Слово: Məqleta, Предложенная лемма: maqţalta (66.7%)
Слово: Məqrzəna, Предложенная лемма: mərzə (66.7%)
Слово: Məqvimu, Предложенная лемма: сim (100.0%)
Слово: Mərjəzjati, Предложенная лемма: mərjuzi (100.0%)
Слово: Mərjəztə, Предложенная лемма: mərzə (77.8%)
Слово: Məruta, Предложенная лемма: mərutə (100.0%)
Слово: Məvərta, Предложенная лемма: mərtə (66.7%)
Слово: Məvərtə, Предложенная лемма: mərtə (66.7%)
Слово: Məzjədtə, Предложенная лемма: zjədə (66.7%)
Слово: Nankin, Предложенная лемма: in (100.0%)
Слово: Nanqin, Предложенная лемма: in (100.0%)
Слово: Narazьjətə, Предложенная лемма: narazьj (100.0%)
Слово: Narkompros, Предложенная лемма: narra (63.6%)
Слово: Narpok, Предложенная лемма: narra (66.7%)
Слово: Naţatarь, Предложенная лемма: nuţa (100.0%)
Слово: Nejman, Предложенная лемма: ijmən (66.7%)
Слово: Niagro, Предложенная лемма: nigaran (100.0%)
Слово: Niagrə, Предложенная лемма: nigaran (100.0%)
Слово: Nijati, Предложенная лемма: ənij (100.0%)
Слово: Nijşa, Предложенная лемма: nijşə (100.0%)
Слово: Nijəti, Предложенная лемма: injət (100.0%)
Слово: Niznij, Предложенная лемма: nizə (100.0%)
Слово: Nişanqa, Предложенная лемма: nişənqə (100.0%)
Слово: Nogina, Предложенная лемма: in (100.0%)
Слово: Norbin, Предложенная лемма: in (100.0%)
Слово: Noske, Предложенная лемма: nist (75.0%)
Слово: Ntarta, Предложенная лемма: ntara (100.0%)
Слово: Nujark, Предложенная лемма: jar (62.5%)
Слово: Nujarq, Предложенная лемма: jərqə (66.7%)
Слово: Nujarą, Предложенная лемма: jar (62.5%)
Слово: Nujərk, Предложенная лемма: nijxə (66.7%)
Слово: Nujərq, Предложенная лемма: jərqə (66.7%)
Слово: Nulərq, Предложенная лемма: nurə (62.5%)
Слово: Nuqmə, Предложенная лемма: qəm (62.5%)
Слово: Nxipta, Предложенная лемма: nxiptə (100.0%)
Слово: Nənkin, Предложенная лемма: in (100.0%)
Слово: Nənqin, Предложенная лемма: in (100.0%)
Слово: Nəvtə, Предложенная лемма: nətə (62.5%)
Слово: OGPU, Предложенная лемма: gəpgupi (100.0%)
Слово: Oinaji, Предложенная лемма: in (100.0%)
Слово: Olja, Предложенная лемма: ljaţa (100.0%)
Слово: Orqonikidze, Предложенная лемма: riqdə (70.0%)
Слово: Orşi, Предложенная лемма: riş (100.0%)
Слово: Osipov, Предложенная лемма: sipə (100.0%)
Слово: Palatta, Предложенная лемма: pal (100.0%)
