Слово: salьmun, Предложенная лемма: salmanta (100.0%)
Слово: şammьvalun, Предложенная лемма: şamma (100.0%)
Слово: mucxo, Предложенная лемма: muxə (62.5%)
Слово: marri, Предложенная лемма: marra (100.0%)
Слово: muxdьrrelь, Предложенная лемма: muxə (100.0%)
Слово: slavatь, Предложенная лемма: asla (100.0%)
Слово: jara, Предложенная лемма: jara (100.0%)
Слово: ţarţurь, Предложенная лемма: ţarţumь (88.9%)
Слово: udərniq, Предложенная лемма: dərə (100.0%)
Слово: вujri, Предложенная лемма: вərвuri (62.5%)
Слово: qəttəti, Предложенная лемма: qəttə (100.0%)
Слово: maddьn, Предложенная лемма: maddujь (88.9%)
Слово: vьrra, Предложенная лемма: arra (62.5%)
Слово: mrajьlь, Предложенная лемма: amra (100.0%)
Слово: lsudrux, Предложенная лемма: sudra (66.7%)
Слово: qərвinni, Предложенная лемма: qərəвin (100.0%)
Слово: şurjьnva, Предложенная лемма: şuraja (100.0%)
Слово: araвa, Предложенная лемма: ara (100.0%)
Слово: qomunist, Предложенная лемма: qoma (100.0%)
Слово: вuqьrrə, Предложенная лемма: вuqara (100.0%)
Слово: mxəjuvə, Предложенная лемма: mxəjə (100.0%)
Слово: şudrena, Предложенная лемма: drana (66.7%)
Слово: iltixi, Предложенная лемма: iltix (100.0%)
Слово: hemizmən, Предложенная лемма: himizmən (100.0%)
Слово: şurjalь, Предложенная лемма: şuraja (100.0%)
Слово: əjвo, Предложенная лемма: əj (100.0%)
Слово: riqtivə, Предложенная лемма: riqdə (66.7%)
Слово: amtьj, Предложенная лемма: am (100.0%)
Слово: canculь, Предложенная лемма: cancurь (88.9%)
Слово: munşiqqeli, Предложенная лемма: minşiltəni (81.8%)
Слово: məhвi, Предложенная лемма: məhlim (75.0%)
Слово: qulвahь, Предложенная лемма: qəlв (100.0%)
Слово: diввi, Предложенная лемма: di (100.0%)
Слово: jarmace, Предложенная лемма: jar (100.0%)
Слово: mugrьjalь, Предложенная лемма: graja (66.7%)
Слово: вьvara, Предложенная лемма: vara (62.5%)
Слово: hajjurunlьj, Предложенная лемма: hajjurь (100.0%)
Слово: xpəqto, Предложенная лемма: xpəqə (100.0%)
Слово: maddьla, Предложенная лемма: maddujь (88.9%)
Слово: xəвnoşuli, Предложенная лемма: xəвuli (70.0%)
Слово: məmrudi, Предложенная лемма: məmrudi (100.0%)
Слово: şuxlippinə, Предложенная лемма: şuxləpə (100.0%)
Слово: ntьrrun, Предложенная лемма: inь (100.0%)
Слово: ljəptə, Предложенная лемма: lijpə (100.0%)
Слово: qrьţlь, Предложенная лемма: qьrţala (100.0%)
Слово: səlhə, Предложенная лемма: sələ (100.0%)
Слово: ьsţuxsь, Предложенная лемма: ьsţul (66.7%)
Слово: məttənə, Предложенная лемма: mətə (100.0%)
Слово: pisipik, Предложенная лемма: pismirrokə (66.7%)
Слово: xəttə, Предложенная лемма: xə (100.0%)
Слово: qərвunilə, Предложенная лемма: qurв (100.0%)
Слово: zarвana, Предложенная лемма: araвana (66.7%)
Слово: şarujina, Предложенная лемма: şarjana (100.0%)
Слово: iltux, Предложенная лемма: iltix (100.0%)
Слово: вьsla, Предложенная лемма: вьsra (75.0%)
Слово: urxəxоrьlь, Предложенная лемма: urxə (100.0%)
Слово: zəlij, Предложенная лемма: zələ (100.0%)
Слово: şorij, Предложенная лемма: şərijkutə (100.0%)
Слово: uçьвlь, Предложенная лемма: açuвь (100.0%)
Слово: tammьmvalun, Предложенная лемма: tamma (100.0%)
Слово: вillijte, Предложенная лемма: вil (100.0%)
Слово: qulah, Предложенная лемма: laha (62.5%)
Слово: muzdьlь, Предложенная лемма: mujdalь (66.7%)
Слово: dьjьna, Предложенная лемма: daьjra (75.0%)
Слово: вuşrьvax, Предложенная лемма: вuş (100.0%)
Слово: ərziвənij, Предложенная лемма: ərzən (77.8%)
Слово: вarвьrana, Предложенная лемма: вar (100.0%)
Слово: muttivlə, Предложенная лемма: mitiltə (70.0%)
Слово: mumţьla, Предложенная лемма: mamţьjana (88.9%)
Слово: hajurьva, Предложенная лемма: hajjurь (66.7%)
Слово: lədostu, Предложенная лемма: dəstur (66.7%)
Слово: qərвuninə, Предложенная лемма: qərəвin (100.0%)
Слово: вuqs, Предложенная лемма: вuqara (75.0%)
Слово: mudijli, Предложенная лемма: mudəjij (88.9%)
Слово: rvьjxь, Предложенная лемма: rvьjxuta (100.0%)
Слово: gurzij, Предложенная лемма: gura (100.0%)
Слово: şadьrrь, Предложенная лемма: şadurь (100.0%)
Слово: вxzeto, Предложенная лемма: вiz (62.5%)
Слово: qaţapь, Предложенная лемма: qţapa (100.0%)
Слово: şarьtun, Предложенная лемма: şartnama (100.0%)
Слово: pirtuxəzi, Предложенная лемма: pirə (100.0%)
Слово: letvə, Предложенная лемма: le (100.0%)
Слово: вqərвəntə, Предложенная лемма: qurвə (66.7%)
Слово: pitji, Предложенная лемма: pitjə (100.0%)
Слово: əhili, Предложенная лемма: hi (100.0%)
Слово: ənijnə, Предложенная лемма: ənij (100.0%)
Слово: surra, Предложенная лемма: sarast (100.0%)
Слово: qurţьla, Предложенная лемма: qьrţala (100.0%)
Слово: surdu, Предложенная лемма: surgun (75.0%)
Слово: marçumь, Предложенная лемма: marumь (77.8%)
Слово: вehivij, Предложенная лемма: hivij (66.7%)
Слово: mastersqoj, Предложенная лемма: astar (66.7%)
Слово: məkəptə, Предложенная лемма: məkkəptə (66.7%)
Слово: tujmar, Предложенная лемма: ojma (62.5%)
Слово: murala, Предложенная лемма: malla (62.5%)
Слово: orьtva, Предложенная лемма: rьtma (75.0%)
Слово: liplux, Предложенная лемма: lipə (100.0%)
Слово: urxəh, Предложенная лемма: urxə (100.0%)
Слово: jiviltə, Предложенная лемма: jəvəltə (100.0%)
Слово: məcuxe, Предложенная лемма: məcuxi (100.0%)
Слово: mijlənutə, Предложенная лемма: mijlə (100.0%)
Слово: вurrьnь, Предложенная лемма: вurrьnna (100.0%)
Слово: вaralьhe, Предложенная лемма: вar (100.0%)
Слово: вьqţalanna, Предложенная лемма: qţala (66.7%)
Слово: gmişli, Предложенная лемма: gəmmiş (66.7%)
Слово: arajanta, Предложенная лемма: ara (100.0%)
Слово: əpiservə, Предложенная лемма: srəvə (66.7%)
Слово: karnaвad, Предложенная лемма: kar (100.0%)
Слово: muqrьţţa, Предложенная лемма: qarţa (66.7%)
Слово: zlijqe, Предложенная лемма: zil (100.0%)
Слово: havarь, Предложенная лемма: havar (100.0%)
Слово: xrizte, Предложенная лемма: rizə (62.5%)
Слово: ləplata, Предложенная лемма: ləpajduta (66.7%)
Слово: milku, Предложенная лемма: mulk (100.0%)
Слово: çumjьlь, Предложенная лемма: çum (100.0%)
Слово: spişkə, Предложенная лемма: spickə (66.7%)
Слово: pəndi, Предложенная лемма: pənd (100.0%)
Слово: məmmuxi, Предложенная лемма: məmmuxi (100.0%)
Слово: zvinnij, Предложенная лемма: zinnə (66.7%)
Слово: puxlaloxun, Предложенная лемма: puxala (100.0%)
Слово: ətilux, Предложенная лемма: tixmə (62.5%)
Слово: şammьvalь, Предложенная лемма: şamma (100.0%)
Слово: qьnţrun, Предложенная лемма: qaţrunь (70.0%)
Слово: munqur, Предложенная лемма: manşur (66.7%)
Слово: tunilə, Предложенная лемма: tund (75.0%)
Слово: mişilmənutə, Предложенная лемма: mişilməntə (100.0%)
Слово: mujinni, Предложенная лемма: məjuji (66.7%)
Слово: qlijqelə, Предложенная лемма: qələ (100.0%)
Слово: xəjrtə, Предложенная лемма: xə (100.0%)
Слово: dlsusi, Предложенная лемма: dlə (100.0%)
Слово: niqovə, Предложенная лемма: niqvə (100.0%)
Слово: вьtlaвьlь, Предложенная лемма: вalвulь (70.0%)
Слово: motor, Предложенная лемма: motə (100.0%)
Слово: şarti, Предложенная лемма: ьşarat (100.0%)
Слово: tammьmaxlь, Предложенная лемма: tamma (100.0%)
Слово: levid, Предложенная лемма: le (100.0%)
Слово: вaluvvь, Предложенная лемма: вal (100.0%)
Слово: mqaţţь, Предложенная лемма: maqţulь (88.9%)
Слово: həddusətti, Предложенная лемма: hədə (100.0%)
Слово: pummə, Предложенная лемма: pumməxtə (100.0%)
Слово: вьtьla, Предложенная лемма: tala (62.5%)
Слово: purqəlun, Предложенная лемма: prəqə (100.0%)
Слово: həggetə, Предложенная лемма: əhəg (100.0%)
Слово: doqijqə, Предложенная лемма: dəqijqə (100.0%)
Слово: xizməjutə, Предложенная лемма: xizmə (100.0%)
Слово: xvii, Предложенная лемма: xivli (100.0%)
Слово: ştijqutə, Предложенная лемма: ştijqə (100.0%)
Слово: məxeli, Предложенная лемма: məx (100.0%)
Слово: səxвuri, Предложенная лемма: səxвuri (100.0%)
Слово: вьnvajьva, Предложенная лемма: вevaja (66.7%)
Слово: sərijdili, Предложенная лемма: isrij (100.0%)
Слово: mupcьltu, Предложенная лемма: məptul (70.0%)
Слово: xtьrra, Предложенная лемма: tarra (66.7%)
Слово: tulqi, Предложенная лемма: təluqi (100.0%)
Слово: вuqьrrun, Предложенная лемма: вarrunь (70.0%)
Слово: orava, Предложенная лемма: ravaja (100.0%)
Слово: kurmixxi, Предложенная лемма: kərmuxi (100.0%)
Слово: zarzucь, Предложенная лемма: zaruca (77.8%)
Слово: xijşə, Предложенная лемма: xijmə (75.0%)
Слово: kənduri, Предложенная лемма: kənduri (100.0%)
Слово: xmijqi, Предложенная лемма: xəmuji (100.0%)
Слово: qurвuzi, Предложенная лемма: qurв (100.0%)
Слово: qəhвə, Предложенная лемма: qə (100.0%)
Слово: mərqidəni, Предложенная лемма: mərqudi (100.0%)
Слово: вrixşili, Предложенная лемма: вriliant (70.0%)
Слово: uldьja, Предложенная лемма: aldьjana (100.0%)
Слово: lijpuvin, Предложенная лемма: lijpə (100.0%)
Слово: cumвьrrь, Предложенная лемма: amвar (66.7%)
Слово: ajroplan, Предложенная лемма: aeroplan (70.0%)
Слово: lьdaje, Предложенная лемма: daja (62.5%)
Слово: cərxi, Предложенная лемма: cəruxə (100.0%)
Слово: marjam, Предложенная лемма: marja (100.0%)
Слово: vədili, Предложенная лемма: və (100.0%)
Слово: xəjjijvə, Предложенная лемма: xəjji (100.0%)
Слово: məştetə, Предложенная лемма: ştetə (66.7%)
Слово: mulvişşinə, Предложенная лемма: mulə (100.0%)
Слово: xizjeti, Предложенная лемма: xizmijtə (66.7%)
Слово: rikxə, Предложенная лемма: rikotə (75.0%)
Слово: nəвələd, Предложенная лемма: вələd (66.7%)
Слово: gəldi, Предложенная лемма: gəlli (75.0%)
Слово: esseser, Предложенная лемма: sьsra (77.8%)
Слово: pəlgi, Предложенная лемма: pəlgə (100.0%)
Слово: patrul, Предложенная лемма: parol (66.7%)
Слово: məşxun, Предложенная лемма: məşxuni (100.0%)
Слово: guвə, Предложенная лемма: giвв (100.0%)
Слово: şqiltelə, Предложенная лемма: şqəltə (100.0%)
Слово: qərqəptu, Предложенная лемма: qərqiptə (100.0%)
Слово: ətjəvə, Предложенная лемма: tjəvə (100.0%)
Слово: halja, Предложенная лемма: ha (100.0%)
Слово: şəqlin, Предложенная лемма: şəq (100.0%)
Слово: əskər, Предложенная лемма: kərkərtə (62.5%)
Слово: ceqcuqinə, Предложенная лемма: cəqcuqi (100.0%)
Слово: klill, Предложенная лемма: kul (100.0%)
Слово: trissər, Предложенная лемма: tre (100.0%)
Слово: pəlli, Предложенная лемма: pəllə (100.0%)
Слово: kərmuxi, Предложенная лемма: kərmuxi (100.0%)
Слово: şuluxtə, Предложенная лемма: şuluxuta (100.0%)
Слово: sarвazi, Предложенная лемма: sara (100.0%)
Слово: jənzi, Предложенная лемма: jə (100.0%)
Слово: xzetə, Предложенная лемма: zetə (62.5%)
Слово: hilo, Предложенная лемма: hi (100.0%)
Слово: həqivəlun, Предложенная лемма: həq (100.0%)
Слово: ləcijtə, Предложенная лемма: cijtə (66.7%)
Слово: mini, Предложенная лемма: d (100.0%)
Слово: levət, Предложенная лемма: le (100.0%)
Слово: kullw, Предложенная лемма: kul (100.0%)
Слово: rigutə, Предложенная лемма: rigunə (75.0%)
Слово: hajnoş, Предложенная лемма: ha (100.0%)
Слово: вajdah, Предложенная лемма: вejdah (88.9%)
Слово: niqolajic, Предложенная лемма: qolaj (66.7%)
Слово: xьllan, Предложенная лемма: xlula (100.0%)
Слово: şmьjta, Предложенная лемма: şmaja (100.0%)
Слово: xlepi, Предложенная лемма: xlepə (100.0%)
Слово: mənjixinvə, Предложенная лемма: mənij (100.0%)
Слово: girsi, Предложенная лемма: gori (100.0%)
Слово: mapşuţь, Предложенная лемма: mapşuţь (100.0%)
Слово: nigвə, Предложенная лемма: noвə (62.5%)
Слово: ţьnta, Предложенная лемма: ţunta (100.0%)
Слово: xullelь, Предложенная лемма: xule (100.0%)
Слово: вismi, Предложенная лемма: вəsumi (100.0%)
Слово: musnidtivə, Предложенная лемма: sind (66.7%)
Слово: velutə, Предложенная лемма: vel (100.0%)
Слово: dlviştə, Предложенная лемма: lviştə (70.0%)
Слово: qəlвin, Предложенная лемма: qə (100.0%)
Слово: eivəduvin, Предложенная лемма: və (100.0%)
Слово: kilqət, Предложенная лемма: kilpət (66.7%)
Слово: manharto, Предложенная лемма: manat (70.0%)
Слово: lmərzə, Предложенная лемма: ləmzə (77.8%)
Слово: șitə, Предложенная лемма: it (100.0%)
Слово: xəjjiddəx, Предложенная лемма: xəjji (100.0%)
Слово: dərdərtə, Предложенная лемма: dərd (100.0%)
Слово: maţtunь, Предложенная лемма: maţţunь (66.7%)
Слово: вaьse, Предложенная лемма: вasma (100.0%)
Слово: вənəjtə, Предложенная лемма: вnəjə (100.0%)
Слово: məqəmtə, Предложенная лемма: qəmtə (66.7%)
Слово: вignəvovit, Предложенная лемма: ginəvə (66.7%)
Слово: taqtuqili, Предложенная лемма: taqtuqь (100.0%)
Слово: dəgəlinə, Предложенная лемма: dəgul (100.0%)
Слово: maqrasta, Предложенная лемма: maqramta (80.0%)
Слово: qtulla, Предложенная лемма: qalla (66.7%)
Слово: mnəgistan, Предложенная лемма: mənə (100.0%)
Слово: həminnin, Предложенная лемма: həm (100.0%)
Слово: muqittəli, Предложенная лемма: qəttə (66.7%)
Слово: jelə, Предложенная лемма: jel (100.0%)
Слово: mədxuri, Предложенная лемма: mətxuri (100.0%)
Слово: corək, Предложенная лемма: corţ (75.0%)
Слово: motvi, Предложенная лемма: motə (100.0%)
Слово: mațlьввьj, Предложенная лемма: maввujь (70.0%)
Слово: ldəj, Предложенная лемма: aldujь (100.0%)
Слово: ərtel, Предложенная лемма: ərtillerijə (100.0%)
Слово: motvaji, Предложенная лемма: motə (100.0%)
Слово: qurвinnili, Предложенная лемма: qurв (100.0%)
Слово: ustakarь, Предложенная лемма: astar (77.8%)
Слово: kujrə, Предложенная лемма: kuj (100.0%)
Слово: dərqull, Предложенная лемма: dərqul (100.0%)
Слово: məxpəltə, Предложенная лемма: məx (100.0%)
Слово: вuxci, Предложенная лемма: вuxcə (100.0%)
Слово: açьz, Предложенная лемма: açьzana (100.0%)
Слово: ţaeta, Предложенная лемма: ţata (100.0%)
Слово: mərqudi, Предложенная лемма: mərqudi (100.0%)
Слово: laвara, Предложенная лемма: lвaraj (100.0%)
Слово: вəвoşu, Предложенная лемма: вəвə (100.0%)
Слово: zoxal, Предложенная лемма: zoa (100.0%)
Слово: axasь, Предложенная лемма: ax (100.0%)
Слово: pəlguptijxə, Предложенная лемма: pəlgə (100.0%)
Слово: kxiklə, Предложенная лемма: kikə (62.5%)
Слово: nijri, Предложенная лемма: enij (100.0%)
Слово: qəlquli, Предложенная лемма: qəlulə (77.8%)
Слово: politiqə, Предложенная лемма: polq (77.8%)
Слово: əhmi, Предложенная лемма: himizmən (100.0%)
Слово: вərriji, Предложенная лемма: вərijjə (77.8%)
Слово: xvarpətutux, Предложенная лемма: xvara (100.0%)
Слово: limz, Предложенная лемма: lim (100.0%)
Слово: pərpuro, Предложенная лемма: pərpuri (100.0%)
Слово: vəde, Предложенная лемма: və (100.0%)
Слово: xlьmlь, Предложенная лемма: xlьjma (88.9%)
Слово: piqarni, Предложенная лемма: qirnij (66.7%)
Слово: kirrə, Предложенная лемма: kirjə (75.0%)
Слово: daqrьjva, Предложенная лемма: qarьjva (70.0%)
Слово: xamşi, Предложенная лемма: xəmşij (100.0%)
Слово: gəruşə, Предложенная лемма: grəşə (100.0%)
Слово: ijta, Предложенная лемма: ijtə (100.0%)
Слово: вizjədivə, Предложенная лемма: вiz (100.0%)
Слово: mərqs, Предложенная лемма: mərə (100.0%)
Слово: xəƶвuni, Предложенная лемма: xəƶвuni (100.0%)
Слово: peşo, Предложенная лемма: paşa (100.0%)
Слово: məşlujo, Предложенная лемма: məşluji (100.0%)
Слово: вəsijmujəti, Предложенная лемма: вəsijmə (100.0%)
Слово: gədug, Предложенная лемма: gəduştə (75.0%)
Слово: xəșşə, Предложенная лемма: xə (100.0%)
Слово: snunijtə, Предложенная лемма: snijqutə (70.0%)
Слово: ləвetə, Предложенная лемма: lə (100.0%)
Слово: вişrəju, Предложенная лемма: вirjutə (66.7%)
Слово: sinçijji, Предложенная лемма: sinjə (77.8%)
Слово: minnunə, Предложенная лемма: nənuntə (66.7%)
Слово: murdьrrun, Предложенная лемма: murdьrra (100.0%)
Слово: salama, Предложенная лемма: salamat (100.0%)
Слово: aldujьjla, Предложенная лемма: aldujь (100.0%)
Слово: deniqin, Предложенная лемма: denə (100.0%)
Слово: ptəxevinvə, Предложенная лемма: ptəxə (100.0%)
Слово: maxlьjьtunlьj, Предложенная лемма: maxlujь (100.0%)
Слово: вixzəjijli, Предложенная лемма: вixjə (77.8%)
Слово: priqazciqi, Предложенная лемма: praqta (72.7%)
Слово: mesid, Предложенная лемма: məsqidənə (75.0%)
Слово: jarьxneta, Предложенная лемма: jar (100.0%)
Слово: dujman, Предложенная лемма: dьjvan (66.7%)
Слово: вillijtij, Предложенная лемма: вil (100.0%)
Слово: mxitovo, Предложенная лемма: mox (100.0%)
Слово: kpinni, Предложенная лемма: kep (100.0%)
Слово: lulilə, Предложенная лемма: lə (100.0%)
Слово: pənçəqi, Предложенная лемма: pənçəq (100.0%)
Слово: gnəvtə, Предложенная лемма: ginəvə (100.0%)
Слово: məвjinnəva, Предложенная лемма: məвjəntə (81.8%)
Слово: durundi, Предложенная лемма: durandə (100.0%)
Слово: вьdraşuva, Предложенная лемма: draşa (66.7%)
Слово: rişit, Предложенная лемма: riş (100.0%)
Слово: mazdьjьtvalьj, Предложенная лемма: mazdujь (100.0%)
Слово: şvuqlij, Предложенная лемма: min (80.0%)
Слово: dərhəq, Предложенная лемма: dərə (100.0%)
Слово: qurвinnun, Предложенная лемма: qurв (100.0%)
Слово: pьțțo, Предложенная лемма: poç (100.0%)
Слово: dsnijqutə, Предложенная лемма: snijqutə (72.7%)
Слово: tupengi, Предложенная лемма: tupəng (100.0%)
Слово: dьqijqə, Предложенная лемма: dəqijqə (100.0%)
Слово: maţrusь, Предложенная лемма: maţrusь (100.0%)
Слово: вnoşij, Предложенная лемма: noş (88.9%)
Слово: həmzərntə, Предложенная лемма: həm (100.0%)
Слово: вəkus, Предложенная лемма: kis (62.5%)
Слово: ţaşьmun, Предложенная лемма: aţaman (66.7%)
Слово: rьjxьlь, Предложенная лемма: raj (100.0%)
Слово: şvijqitlun, Предложенная лемма: şvijtə (90.0%)
Слово: cəqciqənə, Предложенная лемма: ciqə (100.0%)
Слово: malь, Предложенная лемма: malsomь (100.0%)
Слово: kcəxtə, Предложенная лемма: kuxtə (66.7%)
Слово: xurçuni, Предложенная лемма: xurçun (100.0%)
Слово: kəvin, Предложенная лемма: kəvi (100.0%)
Слово: suqlə, Предложенная лемма: səqlə (100.0%)
Слово: вləsunə, Предложенная лемма: вləsə (100.0%)
Слово: qarusa, Предложенная лемма: iqara (100.0%)
Слово: hudьrrь, Предложенная лемма: hudra (100.0%)
Слово: cumcimmi, Предложенная лемма: cəmcumi (100.0%)
Слово: xedte, Предложенная лемма: xədtə (100.0%)
Слово: вraun, Предложенная лемма: вarana (100.0%)
Слово: turşьjь, Предложенная лемма: turə (100.0%)
Слово: вrixşivinvə, Предложенная лемма: rixşə (66.7%)
Слово: itlj, Предложенная лемма: it (100.0%)
Слово: lena, Предложенная лемма: le (100.0%)
Слово: mişə, Предложенная лемма: mişxə (100.0%)
Слово: dlaras, Предложенная лемма: dara (62.5%)
Слово: вegnəhə, Предложенная лемма: gnəhə (66.7%)
Слово: qațța, Предложенная лемма: qaza (100.0%)
Слово: liqraja, Предложенная лемма: qraj (66.7%)
Слово: vьnna, Предложенная лемма: vana (100.0%)
Слово: kpişli, Предложенная лемма: kep (100.0%)
Слово: daxlane, Предложенная лемма: dax (100.0%)
Слово: lqələ, Предложенная лемма: lə (100.0%)
Слово: mərzənoldəhə, Предложенная лемма: mərzə (100.0%)
Слово: xurditə, Предложенная лемма: xurtə (77.8%)
Слово: qrixli, Предложенная лемма: irxi (62.5%)
Слово: sinçijə, Предложенная лемма: sinjə (77.8%)
Слово: ruppu, Предложенная лемма: rpapa (100.0%)
Слово: țana, Предложенная лемма: anam (100.0%)
Слово: pisutə, Предложенная лемма: pisqə (75.0%)
Слово: slьvu, Предложенная лемма: slьjva (75.0%)
Слово: quвlu, Предложенная лемма: qullux (62.5%)
Слово: qoncə, Предложенная лемма: qənə (100.0%)
Слово: mhaslanuta, Предложенная лемма: mahal (77.8%)
Слово: mossul, Предложенная лемма: məssumi (88.9%)
Слово: xulinni, Предложенная лемма: xule (100.0%)
Слово: ьţmo, Предложенная лемма: ţama (100.0%)
Слово: mamrulьlь, Предложенная лемма: mamrujь (80.0%)
Слово: ldəhə, Предложенная лемма: ələhtə (62.5%)
Слово: təmmuzi, Предложенная лемма: təmmuzi (100.0%)
Слово: вuzвьzza, Предложенная лемма: вьzza (77.8%)
Слово: gurinnə, Предложенная лемма: gori (100.0%)
Слово: aldьjlь, Предложенная лемма: aldujь (100.0%)
Слово: maьrvaja, Предложенная лемма: marja (77.8%)
Слово: pruşunlun, Предложенная лемма: pərş (100.0%)
Слово: şupni, Предложенная лемма: şəpuni (100.0%)
Слово: qrьjtelь, Предложенная лемма: qraj (100.0%)
Слово: şьşlь, Предложенная лемма: şiş (100.0%)
Слово: rьxlь, Предложенная лемма: arxalьx (100.0%)
Слово: aççuzula, Предложенная лемма: aççuzь (100.0%)
Слово: durdьxxa, Предложенная лемма: dərd (100.0%)
Слово: səpəri, Предложенная лемма: səpər (100.0%)
Слово: pirtuxi, Предложенная лемма: pirə (100.0%)
Слово: atravati, Предложенная лемма: atra (100.0%)
Слово: dije, Предложенная лемма: di (100.0%)
Слово: almait, Предложенная лемма: al (100.0%)
Слово: çuviвli, Предложенная лемма: çuvaв (100.0%)
Слово: murjizzi, Предложенная лемма: mərjuzi (100.0%)
Слово: futвol, Предложенная лемма: taв (62.5%)
Слово: вnoşe, Предложенная лемма: noş (100.0%)
Слово: maslujan, Предложенная лемма: maslujь (100.0%)
Слово: xəjin, Предложенная лемма: xə (100.0%)
Слово: itlə, Предложенная лемма: it (100.0%)
Слово: qarmucuva, Предложенная лемма: qaravat (70.0%)
Слово: paşutu, Предложенная лемма: paşa (100.0%)
Слово: raьşva, Предложенная лемма: ьşvaţ (62.5%)
Слово: şədinnə, Предложенная лемма: şədlənə (66.7%)
Слово: qurqippə, Предложенная лемма: qərqiptə (90.0%)
Слово: nəși, Предложенная лемма: nəçiв (100.0%)
Слово: gihlə, Предложенная лемма: gihənnə (75.0%)
Слово: lвəti, Предложенная лемма: ləвi (75.0%)
Слово: qərəxəç, Предложенная лемма: qərpəxtə (66.7%)
Слово: zlьmta, Предложенная лемма: zalьm (100.0%)
Слово: kumrьnnun, Предложенная лемма: kumə (100.0%)
Слово: dzduta, Предложенная лемма: zduta (66.7%)
Слово: tuxmьnni, Предложенная лемма: təxmuni (100.0%)
Слово: pənnə, Предложенная лемма: pənçə (75.0%)
Слово: вişqəlivə, Предложенная лемма: şqələ (66.7%)
Слово: maxвuroxunvin, Предложенная лемма: maxвurь (100.0%)
Слово: вtixtə, Предложенная лемма: вitə (100.0%)
Слово: mədəni, Предложенная лемма: mədjuni (75.0%)
Слово: xallala, Предложенная лемма: xala (100.0%)
Слово: halвanь, Предложенная лемма: hala (100.0%)
Слово: millət, Предложенная лемма: miljəit (66.7%)
Слово: msaja, Предложенная лемма: msaja (100.0%)
Слово: dirjinə, Предложенная лемма: dijnə (66.7%)
Слово: xarxupь, Предложенная лемма: xarxurь (88.9%)
Слово: lвauta, Предложенная лемма: вauta (62.5%)
Слово: sulьta, Предложенная лемма: sluta (100.0%)
Слово: prizli, Предложенная лемма: prizlə (100.0%)
Слово: sohвətвpaşamta, Предложенная лемма: sohвət (100.0%)
Слово: jaddьla, Предложенная лемма: jaddana (88.9%)
Слово: xori, Предложенная лемма: xora (100.0%)
Слово: məzvuji, Предложенная лемма: məzvuji (100.0%)
Слово: mləjotun, Предложенная лемма: mləjə (100.0%)
